category,stat,threshold,model,log_loss,accuracy,roc_auc,ece,pce,
receiving,REC,2,LSTM,0.593102832,0.694401071,0.77228371,0.087188592,0.2575,
receiving,YDS,20,LSTM,0.598983843,0.69573946,0.74486623,0.049994834,0.3035,
receiving,TD,0,LSTM,0.434068709,0.843408432,0.511593995,0.005033478,0.0498,
rushing,CAR,4,LSTM,0.45281877,0.804941482,0.867062759,0.054429342,0.2235,
rushing,YDS,16,LSTM,0.533646934,0.748157781,0.808048352,0.062856222,0.2582,
rushing,TD,0,LSTM,0.434276242,0.823146944,0.686064776,0.025883535,0.065,
passing,YDS,213,LSTM,0.621269011,0.628985507,0.719129499,0.067761972,0.3133,
passing,TD,1,LSTM,0.605232977,0.692753623,0.673472331,0.099506449,0.211,
passing,INT,0,LSTM,0.675876779,0.566666667,0.584975831,0.022020335,0.3184,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
