category,stat,threshold,model,log_loss,accuracy,roc_auc,ece,pce
receiving,REC,2,TFT,0.595939194,0.694401071,0.743119372,0.040993829,0.2738
receiving,YDS,20,TFT,0.602161243,0.688601383,0.737704308,0.0436914,0.3255
receiving,TD,0,TFT,0.415526629,0.843408432,0.648043411,0.012509892,0.0473
rushing,CAR,4,TFT,0.460400514,0.793237971,0.85859134,0.060218881,0.2296
rushing,YDS,16,TFT,0.535027963,0.739488513,0.801115444,0.049410924,0.2981
rushing,TD,0,TFT,0.437820377,0.823146944,0.683122696,0.029413998,0.0559
passing,YDS,213,TFT,0.670079366,0.565217391,0.586393336,0.102495991,0.3656
passing,TD,1,TFT,0.632836583,0.476811594,0.533557481,0.146651156,0.2445
passing,INT,0,TFT,0.675405547,0.556521739,0.553764127,0.020215813,0.2972
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
